Store,train_mse,train_mae,test_mse,test_mae,training_history
1,42902948.0,3276.36376953125,20387752.0,2616.83056640625,<keras.callbacks.History object at 0x292d475b0>
2,90626368.0,3743.16943359375,38180240.0,3282.15087890625,<keras.callbacks.History object at 0x2d3bb4610>
3,14276973.0,1309.0361328125,4132957.25,1106.1614990234375,<keras.callbacks.History object at 0x2d4554580>
4,137981392.0,4662.82470703125,58982804.0,4215.69970703125,<keras.callbacks.History object at 0x2eceaf430>
5,5559791.0,966.8246459960938,2512270.0,914.4478149414062,<keras.callbacks.History object at 0x290095dc0>
6,78600296.0,4045.41455078125,45128236.0,4767.99072265625,<keras.callbacks.History object at 0x306fc3f10>
7,19657696.0,1852.1048583984375,7850834.5,1435.2197265625,<keras.callbacks.History object at 0x2d4add970>
8,24621804.0,2536.162109375,11561581.0,1931.51318359375,<keras.callbacks.History object at 0x3214c6190>
9,15330162.0,1572.0859375,10475696.0,1447.5169677734375,<keras.callbacks.History object at 0x346592640>
10,306179072.0,8979.080078125,48592596.0,3637.435791015625,<keras.callbacks.History object at 0x31496dac0>
11,63214128.0,3257.947509765625,25015896.0,2974.480712890625,<keras.callbacks.History object at 0x3808315e0>
12,63471400.0,2182.668212890625,26835310.0,2201.188720703125,<keras.callbacks.History object at 0x2e110b430>
13,136900256.0,4777.82568359375,42645624.0,3075.701904296875,<keras.callbacks.History object at 0x32d621df0>
14,203424384.0,5935.15869140625,39205760.0,3575.87158203125,<keras.callbacks.History object at 0x2d4b4fac0>
15,40909528.0,2247.170654296875,7498944.0,1505.1207275390625,<keras.callbacks.History object at 0x398bcafd0>
16,15927180.0,1461.880126953125,25423120.0,1732.7606201171875,<keras.callbacks.History object at 0x37669f850>
17,31122486.0,2887.468505859375,24671732.0,2434.138916015625,<keras.callbacks.History object at 0x290b28070>
18,65938544.0,3272.55029296875,24887428.0,2507.841552734375,<keras.callbacks.History object at 0x3f55c7550>
19,73104712.0,3412.12890625,31769480.0,2871.216796875,<keras.callbacks.History object at 0x3f5538a60>
20,152227744.0,5618.20166015625,41027920.0,4051.118408203125,<keras.callbacks.History object at 0x36f7aeeb0>
21,43304464.0,2216.177490234375,21819872.0,2113.576416015625,<keras.callbacks.History object at 0x36cf698b0>
22,68681376.0,2557.8984375,15987334.0,2136.004638671875,<keras.callbacks.History object at 0x3f55c75e0>
23,104563816.0,3764.091552734375,38493984.0,3340.941650390625,<keras.callbacks.History object at 0x43a6b3790>
24,90129776.0,4966.7666015625,29086538.0,3038.163330078125,<keras.callbacks.History object at 0x3e9761df0>
25,25183448.0,1816.677490234375,8121126.5,1456.42333984375,<keras.callbacks.History object at 0x4118199d0>
26,32265642.0,2443.281494140625,17463236.0,2247.05810546875,<keras.callbacks.History object at 0x46b9b29d0>
27,104422856.0,4304.58544921875,36506824.0,3311.78759765625,<keras.callbacks.History object at 0x3f2ce8880>
28,85434080.0,3667.70068359375,40747152.0,2989.236083984375,<keras.callbacks.History object at 0x3f57c2190>
29,29965498.0,2014.3470458984375,9914338.0,1892.243896484375,<keras.callbacks.History object at 0x4849cfeb0>
30,4673177.0,1072.8348388671875,8044543.5,1469.7933349609375,<keras.callbacks.History object at 0x3d7adfd60>
31,36704884.0,2316.37451171875,17905788.0,2377.904541015625,<keras.callbacks.History object at 0x4798c5df0>
32,44604868.0,3070.580810546875,21088536.0,2403.537109375,<keras.callbacks.History object at 0x44feada90>
33,6964015.0,1156.346923828125,4682585.0,984.8936767578125,<keras.callbacks.History object at 0x4daea4790>
34,22919522.0,2262.8505859375,8889416.0,1755.24072265625,<keras.callbacks.History object at 0x440493f10>
35,138189584.0,3188.32275390625,23461572.0,2222.386962890625,<keras.callbacks.History object at 0x4a5f73ee0>
36,22291178.0,2325.2890625,3736211.25,1003.813720703125,<keras.callbacks.History object at 0x50b29d760>
37,5627322.5,1098.5927734375,25996776.0,2102.72412109375,<keras.callbacks.History object at 0x3f5552610>
38,3187791.75,766.3978271484375,14539793.0,1737.131103515625,<keras.callbacks.History object at 0x46609b430>
39,86035944.0,3408.246826171875,40118720.0,2996.8974609375,<keras.callbacks.History object at 0x4e77340d0>
40,23621652.0,2151.76123046875,10586160.0,1717.8748779296875,<keras.callbacks.History object at 0x5313c8b80>
41,54098448.0,2609.687255859375,36854040.0,3242.5869140625,<keras.callbacks.History object at 0x4465e9ca0>
42,7854778.0,1278.4375,7427343.0,1332.427490234375,<keras.callbacks.History object at 0x4f2fc85b0>
43,8833249.0,1301.18212890625,9125920.0,1314.1689453125,<keras.callbacks.History object at 0x5728d3c40>
44,2283788.0,741.262939453125,4052287.75,886.1663208007812,<keras.callbacks.History object at 0x521c676d0>
45,37473196.0,2263.742431640625,10155986.0,2148.20068359375,<keras.callbacks.History object at 0x4f0be3610>
