Store,train_mse,train_mae,test_mse,test_mae,training_history
1,60251828.0,3519.619140625,32241232.0,3532.11865234375,<keras.callbacks.History object at 0x290f665e0>
2,112250944.0,5430.66650390625,43911368.0,3591.369384765625,<keras.callbacks.History object at 0x2973348b0>
3,9684239.0,1365.6849365234375,7643764.5,1268.143798828125,<keras.callbacks.History object at 0x2ce284f10>
4,137855424.0,4949.5517578125,59135512.0,4151.33203125,<keras.callbacks.History object at 0x2974a3a00>
5,5845360.5,999.5191040039062,2402001.25,803.2005004882812,<keras.callbacks.History object at 0x2c98a44f0>
6,76798288.0,3966.348876953125,35496748.0,3621.2646484375,<keras.callbacks.History object at 0x3164a8160>
7,24006290.0,2098.22216796875,8174467.5,1626.1767578125,<keras.callbacks.History object at 0x317c1c700>
8,26468460.0,2262.892578125,10985928.0,1810.8123779296875,<keras.callbacks.History object at 0x2cfcadd00>
9,14626210.0,1529.0555419921875,11939125.0,1712.8983154296875,<keras.callbacks.History object at 0x34dc94430>
10,199476240.0,4393.9130859375,53938628.0,4041.745849609375,<keras.callbacks.History object at 0x317afabb0>
11,52701428.0,3167.3974609375,22499986.0,2376.7734375,<keras.callbacks.History object at 0x3164dcfd0>
12,76950368.0,3414.300048828125,27984390.0,2500.891357421875,<keras.callbacks.History object at 0x36a153520>
13,136960768.0,5177.3115234375,61331764.0,4328.63818359375,<keras.callbacks.History object at 0x39169ebb0>
14,188763216.0,5222.05810546875,35091848.0,3218.329345703125,<keras.callbacks.History object at 0x2974350d0>
15,33001312.0,1804.0230712890625,6303487.0,1288.2476806640625,<keras.callbacks.History object at 0x317b45f40>
16,16961682.0,1671.5496826171875,24446808.0,1815.9102783203125,<keras.callbacks.History object at 0x35f4ea640>
17,39315788.0,2759.484619140625,23711172.0,2519.027099609375,<keras.callbacks.History object at 0x3da1e95b0>
18,66799120.0,3089.086181640625,24827238.0,2657.568603515625,<keras.callbacks.History object at 0x2974a3e80>
19,88670696.0,3918.463134765625,33049882.0,2886.562255859375,<keras.callbacks.History object at 0x317b459d0>
20,129709360.0,5407.99560546875,35792880.0,3755.66748046875,<keras.callbacks.History object at 0x3ff981520>
21,38079908.0,1903.7431640625,17831768.0,2146.031494140625,<keras.callbacks.History object at 0x40bfb2040>
22,95071976.0,3864.090087890625,18613004.0,2328.4189453125,<keras.callbacks.History object at 0x2f9766fa0>
23,121420616.0,4475.85107421875,36843312.0,3565.176513671875,<keras.callbacks.History object at 0x3cd2bcca0>
24,61892580.0,3297.659912109375,35432328.0,3122.355712890625,<keras.callbacks.History object at 0x44f9a9f70>
25,29926094.0,2041.3460693359375,8757681.0,1725.7615966796875,<keras.callbacks.History object at 0x462c68430>
26,30731468.0,2422.73046875,15464511.0,2249.785888671875,<keras.callbacks.History object at 0x3c7854a90>
27,107255192.0,4401.0615234375,39980216.0,3488.26220703125,<keras.callbacks.History object at 0x3f0479550>
28,87878384.0,3857.27734375,34498084.0,3171.873291015625,<keras.callbacks.History object at 0x4777a6250>
29,28407140.0,1699.826416015625,4641600.0,1220.728271484375,<keras.callbacks.History object at 0x4a388dc70>
30,6836752.0,1283.5322265625,11387652.0,1814.9415283203125,<keras.callbacks.History object at 0x4883c7520>
31,36533740.0,2493.76171875,24355938.0,2890.867431640625,<keras.callbacks.History object at 0x3cd2c0520>
32,37034864.0,2411.397216796875,20088790.0,2431.397216796875,<keras.callbacks.History object at 0x4a3b02580>
33,3438802.5,923.6329345703125,4300374.0,996.53955078125,<keras.callbacks.History object at 0x4df53ebe0>
34,19657724.0,1885.931640625,9220291.0,1736.5784912109375,<keras.callbacks.History object at 0x4f7d056d0>
35,136234992.0,3225.9892578125,24457406.0,2430.7734375,<keras.callbacks.History object at 0x4506b8bb0>
36,5704032.0,1237.552978515625,4146802.5,1070.428466796875,<keras.callbacks.History object at 0x38e381490>
37,11725395.0,1660.18505859375,58801928.0,3008.572509765625,<keras.callbacks.History object at 0x50faf00d0>
38,20736710.0,2475.33154296875,24221486.0,2012.7515869140625,<keras.callbacks.History object at 0x539066e50>
39,95950256.0,3822.9814453125,45844400.0,3319.785400390625,<keras.callbacks.History object at 0x54ad3d250>
40,22944680.0,2165.28759765625,9632440.0,1806.0902099609375,<keras.callbacks.History object at 0x5269d76d0>
41,179656416.0,8122.50048828125,38067548.0,3588.979736328125,<keras.callbacks.History object at 0x3ff967400>
42,22474544.0,2408.2998046875,36717892.0,2602.064697265625,<keras.callbacks.History object at 0x526fc80a0>
43,621419904.0,13531.623046875,582162176.0,12975.3056640625,<keras.callbacks.History object at 0x58b4c16d0>
44,2804157.5,773.9273071289062,7665346.5,1219.459228515625,<keras.callbacks.History object at 0x57727e4f0>
45,41166084.0,2318.02099609375,8403505.0,1854.14013671875,<keras.callbacks.History object at 0x5ad19d250>
